longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_per_household,bedrooms_per_room,persons_per_house,income_per_person,rooms_per_person,bedrooms_per_household
-117.96,34.0,34.0,2777.0,540.0,1954.0,522.0,4.5163,183800.0,2,5.319923371647509,0.1944544472452286,3.743295019157088,0.0023113101330603,1.4211873080859774,1.0344827586206895
-122.81,38.54,12.0,2289.0,611.0,919.0,540.0,1.1553,139300.0,2,4.238888888888889,0.2669287898645697,1.701851851851852,0.0012571273122959,2.4907508161044616,1.1314814814814815
-122.25,37.77,52.0,2650.0,566.0,1468.0,567.0,3.0161,215700.0,1,4.673721340388007,0.2135849056603773,2.5890652557319225,0.0020545640326975,1.805177111716621,0.9982363315696648
-117.98,33.86,25.0,1025.0,266.0,726.0,183.0,3.875,137500.0,2,5.601092896174864,0.2595121951219512,3.9672131147540974,0.0053374655647382,1.4118457300275482,1.453551912568306
-119.7,34.43,35.0,1402.0,369.0,654.0,385.0,2.6205,318800.0,2,3.6415584415584417,0.2631954350927247,1.6987012987012986,0.0040068807339449,2.143730886850153,0.9584415584415584
-117.92,34.0,36.0,116.0,30.0,193.0,35.0,3.8125,136300.0,2,3.3142857142857145,0.2586206896551724,5.514285714285714,0.0197538860103626,0.6010362694300518,0.8571428571428571
-122.05,37.9,32.0,4498.0,862.0,1818.0,851.0,4.8088,321200.0,1,5.285546415981199,0.1916407292129835,2.136310223266745,0.002645104510451,2.474147414741474,1.0129259694477086
-118.25,33.98,39.0,1553.0,461.0,2271.0,437.0,1.7378,121900.0,2,3.553775743707094,0.296844816484224,5.196796338672769,0.0007652135623073,0.6838397181858212,1.0549199084668193
-122.0,37.23,36.0,3191.0,430.0,1234.0,440.0,9.0704,500001.0,2,7.252272727272727,0.1347539956126606,2.8045454545454547,0.0073504051863857,2.585899513776337,0.9772727272727272
-122.32,37.93,40.0,3056.0,489.0,1103.0,481.0,5.1067,247300.0,1,6.353430353430354,0.1600130890052356,2.2931392931392933,0.0046298277425203,2.770625566636446,1.0166320166320166
-118.25,33.93,36.0,2452.0,734.0,2664.0,667.0,0.9298,100000.0,2,3.67616191904048,0.299347471451876,3.9940029985007497,0.000349024024024,0.9204204204204204,1.1004497751124438
