longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_per_household,bedrooms_per_room,persons_per_house,income_per_person,rooms_per_person,bedrooms_per_household
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,1,6.984126984126984,0.14659090909090908,2.5555555555555554,0.02585465838509317,2.732919254658385,1.0238095238095237
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,1,6.238137082601054,0.15579659106916466,2.109841827768014,0.0034574760516451475,2.9566847147022073,0.9718804920913884
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,1,8.288135593220339,0.12951601908657123,2.8022598870056497,0.014631854838709676,2.9576612903225805,1.073446327683616
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,1,5.8173515981735155,0.18445839874411302,2.547945205479452,0.010113082437275985,2.283154121863799,1.0730593607305936
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,1,6.281853281853282,0.1720958819913952,2.1814671814671813,0.0068074336283185845,2.879646017699115,1.0810810810810811
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,1,4.761658031088083,0.23177366702937977,2.139896373056995,0.009774334140435836,2.225181598062954,1.1036269430051813
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,1,4.9319066147859925,0.19289940828402366,2.1284046692607004,0.003344698354661792,2.3171846435100547,0.9513618677042801
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,1,4.797527047913447,0.22132731958762886,1.7882534775888717,0.002696629213483146,2.6828003457216942,1.061823802163833
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,1,4.294117647058823,0.2602739726027397,2.026890756302521,0.0017250414593698176,2.1185737976782755,1.1176470588235294
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,1,4.970588235294118,0.1992110453648915,2.172268907563025,0.0023798839458413924,2.288201160541586,0.9901960784313726
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,1,5.477611940298507,0.19709355131698456,2.263681592039801,0.00351989010989011,2.4197802197802196,1.0796019900497513
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,1,4.772479564032698,0.2146731373108764,2.0490463215258856,0.002174534574468085,2.329122340425532,1.0245231607629428
